what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745045986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745054559
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435745061153
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435745064210
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435745069893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745071639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745298389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745300200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745307634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745316766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745317607
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435745317611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745322444
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435745323424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745325229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745329672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745333197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745576771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745578650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745586469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745592919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435745595578
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435745596746
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435745602230
