what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435682806168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435682820497
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435682996113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435682996148
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435682996173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435683018113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435683020844
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435683020858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435683047523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435683938615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435683940753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435683950045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435683955164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435683961027
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435683961034
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435683966631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435685133403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435685530045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435685533490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435685689317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435685697279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435685703018
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435685703022
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435685704849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435685751766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435685795865
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435685797172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435685805682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435685864575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435685890999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435686024795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435686035170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435686078347
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435686078385
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435686232966
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435686235984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435686251697
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435686251787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435686256863
started,bundle,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui",1435686256923
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1435686256928
error,log,,,"Exception in org.eclipse.ui.internal.PageLayout.stackView: org.eclipse.ui.PartInitException: Could not create view: org.eclipse.cdt.debug.ui.DisassemblyView",1435686256929
started,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1435686257269
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1435686257346
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1435686257492
activated,perspective,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui.debugPerspective",1435686257705
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435686259669
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1435686267416
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1435686267935
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1435686270662
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1435686272157
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1435686279875
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1435686279932
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435686287060
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435686290353
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435686290471
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.VariableView",1435686309709
activated,perspective,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui.cPerspective",1435686310828
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435686310831
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435686313582
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435686317119
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435686317245
activated,perspective,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui.debugPerspective",1435686321703
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435686321709
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435686324360
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.MemoryView",1435686347328
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.MemoryView",1435686347366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435686349105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435686351203
started,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1435686351259
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435686362618
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.MemoryView",1435686375205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435686375380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435686381768
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435686387407
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1435686400241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435686420744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435686428029
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1435686428045
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1435686428131
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435686430998
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1435686431649
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1435686435214
